id,date,region,temperature_min,temperature_max,precipitation_mm,humidite_relative,vitesse_vent_kmh,direction_vent,pression_hpa,insolation_h
1,2021-01-01,Centre,18.5,32.8,0.0,35,12.5,NE,1015.2,10.2
2,2021-01-01,Nord,16.2,35.1,0.0,28,15.8,NE,1016.8,11.1
3,2021-01-01,Est,19.8,33.5,0.0,32,10.2,E,1014.5,9.8
4,2021-01-01,Sahel,15.1,37.2,0.0,22,18.3,NE,1018.1,11.5
5,2021-01-01,Sud-Ouest,21.2,31.4,0.0,42,8.7,SE,1012.3,8.9
6,2021-01-02,Centre,17.8,33.2,0.0,38,11.2,NE,1014.8,10.5
7,2021-01-02,Nord,15.5,36.3,0.0,25,16.4,NE,1017.2,11.3
8,2021-01-02,Est,20.1,34.1,0.0,29,9.8,E,1013.9,10.1
9,2021-01-02,Sahel,14.8,38.5,0.0,19,19.2,NE,1018.8,11.8
10,2021-01-02,Sud-Ouest,22.1,30.8,0.0,45,7.9,SE,1011.7,8.3
11,2021-01-03,Centre,18.2,32.5,0.0,36,13.1,NE,1015.5,10.0
12,2021-01-03,Nord,16.0,34.8,0.0,30,14.7,NE,1016.3,10.9
13,2021-01-03,Est,19.5,33.8,0.0,33,11.4,E,1014.2,9.6
14,2021-01-03,Sahel,15.8,36.9,0.0,24,17.5,NE,1017.6,11.2
15,2021-01-03,Sud-Ouest,20.9,32.1,0.0,40,9.3,SE,1012.8,9.1
16,2021-01-04,Centre,17.3,31.9,0.0,41,10.8,NE,1014.1,9.7
17,2021-01-04,Nord,15.2,33.5,0.0,33,13.9,NE,1015.9,10.4
18,2021-01-04,Est,19.8,32.6,0.0,35,10.1,E,1013.7,9.3
19,2021-01-04,Sahel,16.1,35.2,0.0,27,16.8,NE,1017.1,10.8
20,2021-01-04,Sud-Ouest,21.5,31.3,0.0,43,8.5,SE,1012.2,8.721,2021-01-05,Centre,21.2,40.7,0.5,39,18.5,E,1019.3,10.9
22,2021-01-05,Nord,23.6,45.1,3.5,31,9.7,E,1018.5,11.5
23,2021-01-05,Est,23.4,39.6,0.7,34,16.4,E,1013.0,10.2
24,2021-01-05,Sahel,25.2,44.6,0.5,27,20.2,NE,1018.9,11.7
25,2021-01-05,Sud-Ouest,23.2,40.6,0.6,44,18.1,E,1014.2,10.1
26,2021-01-06,Centre,22.4,42.6,1.3,37,8.8,E,1014.3,12.0
27,2021-01-06,Nord,22.9,43.2,1.8,30,23.3,N,1011.8,12.0
28,2021-01-06,Est,24.1,42.4,1.0,32,10.6,NE,1010.0,12.0
29,2021-01-06,Sahel,26.6,46.5,0.1,29,14.8,N,1013.0,9.2
30,2021-01-06,Sud-Ouest,21.9,40.8,3.9,44,10.8,NE,1020.0,11.8
31,2021-01-07,Centre,24.5,41.8,4.4,40,7.8,E,1010.9,8.7
32,2021-01-07,Nord,27.1,45.4,0.0,33,13.1,N,1012.6,11.0
33,2021-01-07,Est,22.0,43.2,4.3,36,17.0,E,1010.8,10.1
34,2021-01-07,Sahel,25.2,42.3,1.2,23,9.5,E,1015.4,10.9
35,2021-01-07,Sud-Ouest,20.1,43.8,1.7,50,17.0,NE,1019.8,11.5
36,2021-01-08,Centre,23.1,41.6,0.0,40,22.3,NE,1014.6,11.6
37,2021-01-08,Nord,23.4,40.5,0.0,31,23.1,E,1011.1,12.0
38,2021-01-08,Est,24.5,44.5,0.2,36,20.0,N,1010.0,10.5
39,2021-01-08,Sahel,25.3,46.9,0.0,28,5.0,NE,1018.0,10.6
40,2021-01-08,Sud-Ouest,20.4,41.8,3.7,43,21.2,NE,1018.5,10.6
41,2021-01-09,Centre,22.6,43.3,6.5,44,16.8,N,1012.6,11.5
42,2021-01-09,Nord,25.8,42.8,0.0,33,16.9,E,1014.8,9.7
43,2021-01-09,Est,27.0,42.3,3.0,44,5.0,E,1016.6,10.6
44,2021-01-09,Sahel,25.9,46.3,0.0,28,10.6,E,1015.6,11.1
45,2021-01-09,Sud-Ouest,21.2,41.9,3.4,46,11.1,N,1013.1,12.0
46,2021-01-10,Centre,20.9,43.3,1.7,40,14.8,NE,1015.6,12.0
47,2021-01-10,Nord,22.6,42.5,2.9,32,20.6,E,1014.4,10.0
48,2021-01-10,Est,25.7,44.5,0.0,39,21.4,E,1016.3,10.5
49,2021-01-10,Sahel,24.4,49.5,5.6,26,5.5,NE,1010.0,12.0
50,2021-01-10,Sud-Ouest,21.8,42.0,4.1,52,9.6,N,1014.1,10.2
51,2021-01-11,Centre,23.1,44.8,4.4,43,20.7,N,1012.7,11.7
52,2021-01-11,Nord,23.9,46.3,1.4,32,23.1,NE,1016.6,12.0
53,2021-01-11,Est,23.3,45.7,0.7,35,6.3,NE,1017.1,12.0
54,2021-01-11,Sahel,27.7,44.2,0.0,28,19.4,N,1014.6,11.7
55,2021-01-11,Sud-Ouest,21.9,40.8,1.2,47,13.3,E,1015.7,10.7
56,2021-01-12,Centre,24.2,40.5,2.2,40,25.0,NE,1010.0,11.0
57,2021-01-12,Nord,21.9,42.5,0.7,34,19.1,NE,1011.6,10.2
58,2021-01-12,Est,22.1,40.5,0.2,33,12.5,E,1013.5,10.9
59,2021-01-12,Sahel,25.1,47.7,3.5,24,16.4,NE,1014.7,12.0
60,2021-01-12,Sud-Ouest,22.4,40.0,4.6,46,19.9,NE,1013.6,12.0
61,2021-01-13,Centre,24.7,42.5,7.6,39,16.9,NE,1016.8,11.6
62,2021-01-13,Nord,25.3,43.2,3.2,30,24.0,NE,1014.5,11.2
63,2021-01-13,Est,23.0,40.6,0.1,32,17.2,NE,1015.9,11.2
64,2021-01-13,Sahel,25.6,45.0,4.9,24,20.9,E,1014.6,11.5
65,2021-01-13,Sud-Ouest,20.2,39.7,2.8,46,14.1,E,1015.2,12.0
66,2021-01-14,Centre,22.5,42.7,2.1,35,8.7,N,1014.3,12.0
67,2021-01-14,Nord,25.2,42.8,2.5,34,7.6,E,1018.8,12.0
68,2021-01-14,Est,21.2,45.6,2.0,38,13.4,E,1019.6,11.7
69,2021-01-14,Sahel,25.8,44.7,1.1,30,21.6,N,1012.3,10.7
70,2021-01-14,Sud-Ouest,22.3,41.3,3.7,47,11.5,E,1015.7,12.0
71,2021-01-15,Centre,24.2,46.0,0.0,40,20.9,E,1015.0,11.9
